Data Year,Quarter,COUNTY,ZEV Sales,Total LDV Sales,ZEV Sales Share
2023,1,Marin,1034,2816,37%
2023,1,Mariposa,9,71,13%
2023,1,Mendocino,60,445,13%
2023,1,Merced,131,1454,9%
2023,1,Modoc,1,37,3%
2023,1,Mono,14,90,16%
2023,1,Monterey,470,2723,17%
2023,1,Napa,298,1202,25%
2023,1,Nevada,107,615,17%
2023,1,Orange,12078,43384,28%
2023,1,Out Of State,1003,21498,5%
2023,1,Placer,863,4215,20%
2023,1,Plumas,5,66,8%
2023,1,Riverside,3724,24897,15%
2023,1,Sacramento,2469,11526,21%
2023,1,San Benito,68,452,15%
2023,1,San Bernardino,2945,20899,14%
2023,1,San Diego,8824,35966,25%
2023,1,San Francisco,2143,6362,34%
2023,1,San Joaquin,1402,6329,22%
2023,1,San Luis Obispo,495,2153,23%
2023,1,San Mateo,4560,13493,34%
2023,1,Santa Barbara,668,3438,19%
2023,1,Santa Clara,9455,21801,43%
2023,1,Santa Cruz,473,1825,26%
2023,1,Shasta,109,1171,9%
2023,1,Sierra,0,17,0%
2023,1,Siskiyou,12,208,6%
2023,1,Solano,628,3618,17%
2023,1,Sonoma,875,4113,21%
2023,1,Stanislaus,385,3402,11%
2023,1,Sutter,66,672,10%
2023,1,Tehama,16,291,5%
2023,1,Trinity,5,51,10%
2023,1,Tulare,171,2770,6%
2023,1,Tuolumne,45,325,14%
2023,1,Ventura,1891,8638,22%
2023,1,Yolo,363,1565,23%
2023,1,Yuba,42,440,10%
2023,2,Alameda,6562,16687,39%
2023,2,Alpine,0,7,0%
2023,2,Amador,31,261,12%
2023,2,Butte,151,1269,12%
2023,2,Calaveras,37,347,11%
2023,2,Colusa,8,150,5%
2023,2,Contra Costa,4231,12498,34%
2023,2,Del Norte,11,131,8%
2023,2,El Dorado,399,1824,22%
2023,2,Fresno,1081,7321,15%
2023,2,Glenn,8,155,5%
2023,2,Humboldt,96,695,14%
2023,2,Imperial,103,2324,4%
2023,2,Inyo,12,171,7%
2023,2,Kern,763,7265,11%
2023,2,Kings,90,1049,9%
2023,2,Lake,40,280,14%
2023,2,Lassen,6,106,6%
2023,2,Los Angeles,33128,130925,25%
2023,2,Madera,122,991,12%
2023,2,Marin,1157,3048,38%
2023,2,Mariposa,8,108,7%
2023,2,Mendocino,77,518,15%
2023,2,Merced,217,1635,13%
2023,2,Modoc,0,41,0%
2023,2,Mono,16,101,16%
2023,2,Monterey,525,3016,17%
2023,2,Napa,332,1314,25%
2023,2,Nevada,131,690,19%
2023,2,Orange,15483,48355,32%
2023,2,Out Of State,1500,29893,5%
2023,2,Placer,1249,4787,26%
2023,2,Plumas,7,98,7%
2023,2,Riverside,5684,28013,20%
2023,2,Sacramento,3532,13065,27%
2023,2,San Benito,131,579,23%
2023,2,San Bernardino,4709,23512,20%
2023,2,San Diego,10723,38915,28%
2023,2,San Francisco,3146,7632,41%
2023,2,San Joaquin,1926,7297,26%
2023,2,San Luis Obispo,504,2184,23%
2023,2,San Mateo,3921,15775,25%
2023,2,Santa Barbara,747,3673,20%
2023,2,Santa Clara,10190,23601,43%
2023,2,Santa Cruz,495,1866,27%
2023,2,Shasta,107,1248,9%
2023,2,Sierra,1,16,6%
2023,2,Siskiyou,19,255,7%
2023,2,Solano,980,4200,23%
2023,2,Sonoma,1080,4219,26%
2023,2,Stanislaus,531,3857,14%
2023,2,Sutter,81,682,12%
2023,2,Tehama,28,330,8%
2023,2,Trinity,3,49,6%
2023,2,Tulare,258,3169,8%
2023,2,Tuolumne,39,356,11%
2023,2,Ventura,2610,9968,26%
2023,2,Yolo,471,1884,25%
2023,2,Yuba,57,488,12%
2023,3,Alameda,6627,16297,41%
2023,3,Alpine,2,5,40%
2023,3,Amador,23,251,9%
2023,3,Butte,146,1167,13%
2023,3,Calaveras,45,343,13%
2023,3,Colusa,11,137,8%
2023,3,Contra Costa,3904,11869,33%
2023,3,Del Norte,8,97,8%
2023,3,El Dorado,378,1724,22%
2023,3,Fresno,1173,7229,16%
2023,3,Glenn,12,165,7%
2023,3,Humboldt,87,629,14%
2023,3,Imperial,130,2242,6%
2023,3,Inyo,19,160,12%
2023,3,Kern,811,6877,12%
2023,3,Kings,86,994,9%
2023,3,Lake,37,290,13%
2023,3,Lassen,3,99,3%
2023,3,Los Angeles,33508,119302,28%
2023,3,Madera,155,914,17%
2023,3,Marin,1101,2895,38%
2023,3,Mariposa,15,81,19%
2023,3,Mendocino,76,479,16%
2023,3,Merced,218,1531,14%
2023,3,Modoc,0,46,0%
2023,3,Mono,10,98,10%
2023,3,Monterey,587,3064,19%
2023,3,Napa,306,1193,26%
2023,3,Nevada,145,692,21%
2023,3,Orange,14370,45725,31%
2023,3,Out Of State,2746,24760,11%
2023,3,Placer,1292,4736,27%
2023,3,Plumas,11,103,11%
2023,3,Riverside,5451,26924,20%
2023,3,Sacramento,3357,12520,27%
2023,3,San Benito,117,580,20%
2023,3,San Bernardino,4388,22640,19%
2023,3,San Diego,9900,36938,27%
2023,3,San Francisco,2872,7098,40%
2023,3,San Joaquin,1697,6754,25%
2023,3,San Luis Obispo,533,2204,24%
2023,3,San Mateo,4823,12058,40%
2023,3,Santa Barbara,815,3542,23%
2023,3,Santa Clara,10287,23814,43%
2023,3,Santa Cruz,570,2032,28%
2023,3,Shasta,136,1190,11%
2023,3,Sierra,1,16,6%
2023,3,Siskiyou,15,235,6%
2023,3,Solano,885,3943,22%
2023,3,Sonoma,1014,3988,25%
2023,3,Stanislaus,619,3767,16%
2023,3,Sutter,87,689,13%
2023,3,Tehama,41,358,11%
2023,3,Trinity,6,48,13%
2023,3,Tulare,310,3002,10%
2023,3,Tuolumne,38,303,13%
2023,3,Ventura,2393,9552,25%
2023,3,Yolo,468,1896,25%
2023,3,Yuba,72,453,16%
2023,4,Alameda,5145,14272,36%
2023,4,Alpine,0,8,0%
2023,4,Amador,23,230,10%
2023,4,Butte,140,1156,12%
2023,4,Calaveras,38,321,12%
2023,4,Colusa,5,126,4%
2023,4,Contra Costa,3483,10912,32%
2023,4,Del Norte,6,98,6%
2023,4,El Dorado,375,1672,22%
2023,4,Fresno,925,6276,15%
2023,4,Glenn,10,146,7%
2023,4,Humboldt,80,580,14%
2023,4,Imperial,102,1988,5%
2023,4,Inyo,9,157,6%
2023,4,Kern,709,6238,11%
2023,4,Kings,80,861,9%
2023,4,Lake,39,300,13%
2023,4,Lassen,7,100,7%
2023,4,Los Angeles,29526,116899,25%
2023,4,Madera,90,843,11%
2023,4,Marin,1112,2928,38%
2023,4,Mariposa,9,83,11%
2023,4,Mendocino,70,447,16%
2023,4,Merced,163,1373,12%
2023,4,Modoc,2,35,6%
2023,4,Mono,15,123,12%
2023,4,Monterey,494,2855,17%
2023,4,Napa,408,1297,31%
2023,4,Nevada,135,647,21%
2023,4,Orange,12379,42192,29%
2023,4,Out Of State,3021,23367,13%
2023,4,Placer,1100,4338,25%
2023,4,Plumas,10,110,9%
2023,4,Riverside,5040,25126,20%
2023,4,Sacramento,2717,11373,24%
2023,4,San Benito,115,527,22%
2023,4,San Bernardino,3883,20889,19%
2023,4,San Diego,8840,35061,25%
2023,4,San Francisco,2048,6161,33%
2023,4,San Joaquin,1318,5977,22%
2023,4,San Luis Obispo,556,2247,25%
2023,4,San Mateo,3037,9110,33%
2023,4,Santa Barbara,780,3422,23%
2023,4,Santa Clara,8348,20839,40%
2023,4,Santa Cruz,496,1786,28%
2023,4,Shasta,121,1080,11%
2023,4,Sierra,1,11,9%
2023,4,Siskiyou,16,225,7%
2023,4,Solano,845,3579,24%
2023,4,Sonoma,1035,3893,27%
2023,4,Stanislaus,495,3209,15%
2023,4,Sutter,74,595,12%
2023,4,Tehama,24,320,8%
2023,4,Trinity,2,55,4%
2023,4,Tulare,240,2693,9%
2023,4,Tuolumne,52,322,16%
2023,4,Ventura,2266,8966,25%
2023,4,Yolo,373,1688,22%
2023,4,Yuba,69,410,17%
2022,1,Alameda,4133,13280,31%
2022,1,Alpine,0,6,0%
2022,1,Amador,21,239,9%
2022,1,Butte,90,1171,8%
2022,1,Calaveras,34,363,9%
2022,1,Colusa,2,137,1%
2022,1,Contra Costa,2476,10101,25%
2022,1,Del Norte,2,95,2%
2022,1,El Dorado,234,1596,15%
2022,1,Fresno,619,6568,9%
2022,1,Glenn,8,172,5%
2022,1,Humboldt,58,633,9%
2022,1,Imperial,57,2087,3%
2022,1,Inyo,9,150,6%
2022,1,Kern,440,6824,6%
2022,1,Kings,50,916,5%
2022,1,Lake,21,283,7%
2022,1,Lassen,0,120,0%
2022,1,Los Angeles,18066,113619,16%
2022,1,Madera,50,940,5%
2022,1,Marin,814,2719,30%
2022,1,Mariposa,4,75,5%
2022,1,Mendocino,37,493,8%
2022,1,Merced,115,1537,7%
2022,1,Modoc,0,39,0%
2022,1,Mono,5,89,6%
2022,1,Monterey,373,2692,14%
2022,1,Napa,230,1133,20%
2022,1,Nevada,87,634,14%
2022,1,Orange,9230,40133,23%
2022,1,Out Of State,327,16923,2%
2022,1,Placer,754,4208,18%
2022,1,Plumas,8,98,8%
2022,1,Riverside,3272,24958,13%
2022,1,Sacramento,1670,11494,15%
2022,1,San Benito,98,514,19%
2022,1,San Bernardino,2423,20852,12%
2022,1,San Diego,5734,34088,17%
2022,1,San Francisco,1671,6151,27%
2022,1,San Joaquin,916,6044,15%
2022,1,San Luis Obispo,310,2108,15%
2022,1,San Mateo,4092,11458,36%
2022,1,Santa Barbara,470,3323,14%
2022,1,Santa Clara,6138,18054,34%
2022,1,Santa Cruz,348,1723,20%
2022,1,Shasta,88,1208,7%
2022,1,Sierra,0,12,0%
2022,1,Siskiyou,7,187,4%
2022,1,Solano,475,3461,14%
2022,1,Sonoma,637,3761,17%
2022,1,Stanislaus,328,3765,9%
2022,1,Sutter,53,736,7%
2022,1,Tehama,9,329,3%
2022,1,Trinity,4,51,8%
2022,1,Tulare,143,2966,5%
2022,1,Tuolumne,24,348,7%
2022,1,Ventura,1577,8290,19%
2022,1,Yolo,253,1433,18%
2022,1,Yuba,42,464,9%
2022,2,Alameda,4022,13168,31%
2022,2,Alpine,1,11,9%
2022,2,Amador,18,223,8%
2022,2,Butte,91,1186,8%
2022,2,Calaveras,40,341,12%
2022,2,Colusa,11,148,7%
2022,2,Contra Costa,2493,9913,25%
2022,2,Del Norte,4,94,4%
2022,2,El Dorado,315,1614,20%
2022,2,Fresno,759,6601,11%
2022,2,Glenn,5,209,2%
2022,2,Humboldt,67,590,11%
2022,2,Imperial,61,2000,3%
2022,2,Inyo,7,129,5%
2022,2,Kern,506,7027,7%
2022,2,Kings,66,940,7%
2022,2,Lake,13,300,4%
2022,2,Lassen,5,117,4%
2022,2,Los Angeles,20465,114250,18%
2022,2,Madera,88,907,10%
2022,2,Marin,844,2666,32%
2022,2,Mariposa,8,112,7%
2022,2,Mendocino,51,492,10%
2022,2,Merced,146,1530,10%
2022,2,Modoc,0,33,0%
2022,2,Mono,13,104,13%
2022,2,Monterey,364,2756,13%
2022,2,Napa,231,1128,20%
2022,2,Nevada,102,619,16%
2022,2,Orange,8684,39295,22%
2022,2,Out Of State,744,23280,3%
2022,2,Placer,831,4156,20%
2022,2,Plumas,5,94,5%
2022,2,Riverside,3282,25170,13%
2022,2,Sacramento,1869,11359,16%
2022,2,San Benito,99,581,17%
2022,2,San Bernardino,2538,21215,12%
2022,2,San Diego,6275,34671,18%
2022,2,San Francisco,1695,5856,29%
2022,2,San Joaquin,925,5862,16%
2022,2,San Luis Obispo,382,2085,18%
2022,2,San Mateo,2911,10923,27%
2022,2,Santa Barbara,470,3445,14%
2022,2,Santa Clara,6201,19227,32%
2022,2,Santa Cruz,349,1616,22%
2022,2,Shasta,94,1141,8%
2022,2,Sierra,2,14,14%
2022,2,Siskiyou,15,230,7%
2022,2,Solano,545,3401,16%
2022,2,Sonoma,626,3834,16%
2022,2,Stanislaus,366,3479,11%
2022,2,Sutter,76,700,11%
2022,2,Tehama,16,299,5%
2022,2,Trinity,2,45,4%
2022,2,Tulare,188,2904,6%
2022,2,Tuolumne,31,308,10%
2022,2,Ventura,1659,8383,20%
2022,2,Yolo,267,1411,19%
2022,2,Yuba,39,522,7%
2022,3,Alameda,4247,13023,33%
2022,3,Alpine,2,14,14%
2022,3,Amador,30,233,13%
2022,3,Butte,104,1081,10%
2022,3,Calaveras,26,294,9%
2022,3,Colusa,6,128,5%
2022,3,Contra Costa,2702,9888,27%
2022,3,Del Norte,1,89,1%
2022,3,El Dorado,282,1501,19%
2022,3,Fresno,719,6399,11%
2022,3,Glenn,10,168,6%
2022,3,Humboldt,82,579,14%
2022,3,Imperial,79,1954,4%
2022,3,Inyo,14,146,10%
2022,3,Kern,557,6678,8%
2022,3,Kings,58,920,6%
2022,3,Lake,28,254,11%
2022,3,Lassen,3,113,3%
2022,3,Los Angeles,20265,101284,20%
2022,3,Madera,70,942,7%
2022,3,Marin,827,2367,35%
2022,3,Mariposa,6,68,9%
2022,3,Mendocino,45,450,10%
2022,3,Merced,125,1407,9%
2022,3,Modoc,0,26,0%
2022,3,Mono,8,105,8%
2022,3,Monterey,376,2666,14%
2022,3,Napa,224,1063,21%
2022,3,Nevada,104,603,17%
2022,3,Orange,9383,38078,25%
2022,3,Out Of State,754,18804,4%
2022,3,Placer,853,3945,22%
2022,3,Plumas,3,84,4%
2022,3,Riverside,3550,24037,15%
2022,3,Sacramento,1912,10314,19%
2022,3,San Benito,113,539,21%
2022,3,San Bernardino,2856,20306,14%
2022,3,San Diego,6880,32612,21%
2022,3,San Francisco,1610,6650,24%
2022,3,San Joaquin,986,5855,17%
2022,3,San Luis Obispo,363,1985,18%
2022,3,San Mateo,3765,9791,38%
2022,3,Santa Barbara,557,3290,17%
2022,3,Santa Clara,6913,18954,36%
2022,3,Santa Cruz,360,1559,23%
2022,3,Shasta,98,1056,9%
2022,3,Sierra,2,17,12%
2022,3,Siskiyou,17,191,9%
2022,3,Solano,596,3223,18%
2022,3,Sonoma,715,3666,20%
2022,3,Stanislaus,355,3499,10%
2022,3,Sutter,67,694,10%
2022,3,Tehama,16,289,6%
2022,3,Trinity,1,38,3%
2022,3,Tulare,186,2838,7%
